TreeID,BlockID,InventoryDate,Street,HouseNumber,TreeNo.,SpeciesCode,CommonSpecies Names,Ownership,Location,Circumference,NumberofStems,%HardSurface,CrownWidth,TotalHeight,Heightclasses,Heighttobaseofcrown,UnbalancedCrown,ReducedHeight,WeakorYellowFoliage,Defoliation,DeadorBrokenBranch,PoorBranch Attachment,Lean,TrunkScars,BranchScar,Conks,RotorCavity-Trunk,RotorCavity-Branch,Crack,ConfinedSpace,GirdlingRoots,RecentTrenching,ConflictwithWires,ConflictwithStructure,ConflictwithSidewalk,Conflictwithanothrtree,ConflictwithTrafficSign,CableorBraching,Genus,Family,DBH,BasalArea,Deciduous/Evergreen,Treecondition,CrownProjectionArea,CrownProjectionIndex,HeritageValue,Heritage DBH,Heritageheight,PotentialHeritage,Comments,DatePlanted,STOCKTYPE,SIZE,STOCKCOST,NURSERY,INSPECTED,PRUNING,REMOVED,XCOOR,YCOOR,,,,,,,,,,,,
0031,003,39270,Willcocks,98,1,mapnor,Norway Maple,c,st,202,1,45,13,24,4,20,1,0,0,1,2,2,1,1,1,0,1,1,3,0,0,0,e,n,n,e,n,n,Maple,Maple,64,0.322,Deciduous,very poor,133,117,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
0032,003,39270,Willcocks,96,2,mapnor,Norway Maple,c,st,195,1,45,16,23,4,9,1,0,0,0,1,0,0,2,1,0,1,1,3,0,0,0,n,n,n,e,n,n,Maple,Maple,62,0.302,Deciduous,very poor,201,177,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
0033,003,39270,Willcocks,94,3,mapnor,Norway Maple,c,st,59,1,45,10,14,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,e,n,n,e,n,n,Maple,Maple,19,0.028,Deciduous,excellent,79,70,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
0034,003,39270,Willcocks,94,4,checho,Choke Cherry,c,fy,59,1,30,6,11,3,4,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,e,n,n,e,n,n,Cherry,Rose,19,0.028,Deciduous,good,28,22,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
0035,003,39270,Willcocks,92,5,olirus,Russian Olive,c,fy,66,1,10,7,7,2,4,2,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,e,e,n,e,n,n,Russian Olive,Oleaster,21,0.035,Deciduous,fair,38,33,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,
0036,003,39270,Willcocks,90,6,mapnor,Norway Maple,c,st,302,1,45,18,28,4,14,0,0,0,0,0,0,0,1,2,0,0,0,1,0,1,0,n,n,n,e,n,n,Maple,Maple,96,0.724,Deciduous,excellent,254,224,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
0037,003,39270,Willcocks,86,7,ashwhi,White Ash,c,st,90,1,20,5,15,3,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,e,n,n,e,n,n,Ash,Olive,29,0.066,Deciduous,excellent,20,17,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
0038,003,39270,Willcocks,84,8,cedwhi,White Cedar,c,fy,84,1,40,6,12,3,11,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,e,e,n,n,n,n,Cedar,Cypress,27,0.057,Evergreen,excellent,28,22,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
0039,003,39270,Willcocks,84,9,sprwhi,White spruce,p,by,11,1,10,16,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,n,e,e,n,n,n,Spruce,Pine,4,0.001,Evergreen,excellent,201,159,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
00310,003,39270,Willcocks,84,10,mapnor,Norway Maple,p,by,80,1,0,12,20,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n,n,n,n,n,n,Maple,Maple,25,0.049,Deciduous,excellent,113,99,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
